SEC,SSD,TPS,RT
1,SSD-480GB,0,0
2,SSD-480GB,0,0
3,SSD-480GB,574,2936.73
4,SSD-480GB,1914.99,240.54
5,SSD-480GB,1633.94,201.84
6,SSD-480GB,1761.06,198.84
7,SSD-480GB,1727.99,202.26
8,SSD-480GB,1752,206.17
9,SSD-480GB,1485,241.55
10,SSD-480GB,1790,185.61
11,SSD-480GB,1741,194.13
12,SSD-480GB,1849,170.53
13,SSD-480GB,1789.99,205.25
14,SSD-480GB,1817.09,198.42
15,SSD-480GB,1856.93,180.03
16,SSD-480GB,1974.02,183.46
17,SSD-480GB,1878.83,170.74
18,SSD-480GB,1764.94,198.07
19,SSD-480GB,1845.22,182.53
20,SSD-480GB,1757.99,199.38
21,SSD-480GB,1694,205.62
22,SSD-480GB,1783,197.36
23,SSD-480GB,1814.98,181.98
24,SSD-480GB,1814.06,201.54
25,SSD-480GB,1643.86,228.6
26,SSD-480GB,959.95,234
27,SSD-480GB,488.02,1272.07
28,SSD-480GB,1384.01,276.46
29,SSD-480GB,1231,288.55
30,SSD-480GB,1592.95,240.18
31,SSD-480GB,1909.07,195.48
32,SSD-480GB,1846,199.85
33,SSD-480GB,1809,190.62
34,SSD-480GB,1775.01,194.02
35,SSD-480GB,1681.96,200.93
36,SSD-480GB,1707.04,204.82
37,SSD-480GB,1677,186.73
38,SSD-480GB,1841.97,187.62
39,SSD-480GB,1409.02,272.35
40,SSD-480GB,1720.01,194.72
41,SSD-480GB,1798.67,197.89
42,SSD-480GB,1811.29,187.4
43,SSD-480GB,1796.9,191.48
44,SSD-480GB,1864.1,169.01
45,SSD-480GB,1914.05,171.1
46,SSD-480GB,1932,168.71
47,SSD-480GB,1970.01,191.14
48,SSD-480GB,2069.99,169.67
49,SSD-480GB,1378.99,246
50,SSD-480GB,1689.01,222.53
51,SSD-480GB,1741,204.21
52,SSD-480GB,1829,170.69
53,SSD-480GB,1582,216.09
54,SSD-480GB,1625.64,218.76
55,SSD-480GB,176.15,1123.8
56,SSD-480GB,1330.01,1136.66
57,SSD-480GB,1575,224.87
58,SSD-480GB,1897.01,188.8
59,SSD-480GB,1762.8,183.51
60,SSD-480GB,1920.21,182.09
61,SSD-480GB,1744.98,193.79
